,TMT,TMT,TMT,TMT,Coord %,Coord %,Coord %,Coord %
Metodo,Automation,Optimization 1,Optimization 2,Transformer,Automation,Optimization 1,Optimization 2,Transformer
Escenario,,,,,,,,
scenario_1,-15.85430,-0.73930,-0.73930,-1.02140,12.00000,87.00000,87.00000,84.00000
scenario_2,-18.96240,-17.02310,-2.91259,-2.58520,12.00000,90.00000,94.00000,94.00000
scenario_3,-17.82150,-17.73160,-2.37190,-1.82310,13.00000,91.00000,95.00000,89.00000
scenario_4,-15.23050,-0.51750,-0.51750,-0.59560,13.00000,89.00000,89.00000,85.00000
scenario_5,-24.94750,-16.65510,-1.80198,-0.95990,13.00000,91.00000,97.00000,96.00000
scenario_6,-20.97470,-16.73160,-2.46793,-2.49100,13.00000,91.00000,97.00000,94.00000
scenario_7,-17.78630,-17.08800,-2.38213,-2.58220,14.00000,91.00000,95.00000,89.00000
scenario_8,-19.00270,-16.92290,-2.85357,-2.95240,12.00000,91.00000,96.00000,93.00000
scenario_9,-20.14720,-15.84750,-1.46529,-1.63530,14.00000,89.00000,95.00000,88.00000
scenario_10,-19.22740,-18.51000,-4.84411,-4.60090,14.00000,87.00000,90.00000,81.00000
scenario_11,-17.81270,-17.35610,-0.90627,-1.10910,12.00000,91.00000,96.00000,87.00000
scenario_12,-18.11710,-17.10330,-2.75240,-3.44320,11.00000,91.00000,95.00000,88.00000
scenario_13,-18.44970,-15.79160,-0.44304,-1.64200,13.00000,90.00000,96.00000,86.00000
scenario_14,-45.68150,-15.79740,-1.92392,-1.71110,14.00000,91.00000,95.00000,85.00000
scenario_15,-32.15280,-16.32340,-3.06338,-3.15520,14.00000,91.00000,95.00000,88.00000
scenario_16,-23.64680,-16.31490,-1.53341,-1.84530,11.00000,90.00000,94.00000,90.00000
scenario_17,-17.77340,-17.26570,-2.74858,-3.12920,13.00000,89.00000,92.00000,84.00000
scenario_18,-18.32510,-17.23950,-0.55547,-1.41740,10.00000,86.00000,93.00000,86.00000
scenario_19,-18.06110,-17.08760,-3.80889,-3.16130,13.00000,89.00000,91.00000,89.00000
scenario_20,-18.23160,-17.05450,-3.23231,-4.08150,11.00000,90.00000,93.00000,88.00000
scenario_21,-15.99220,-0.35300,-0.35300,-0.64630,12.00000,93.00000,93.00000,83.00000
scenario_22,-15.89500,-0.37330,-0.37330,-0.56180,12.00000,92.00000,92.00000,82.00000
scenario_23,-15.69030,-1.59470,-1.59470,-1.91820,10.00000,80.00000,80.00000,67.00000
scenario_24,-15.58950,-0.30390,-0.30390,-0.62970,15.00000,93.00000,93.00000,81.00000
scenario_25,-15.69640,-0.11710,-0.11710,-0.70400,12.00000,95.00000,95.00000,79.00000
scenario_26,-15.80850,-0.71190,-0.71190,-0.87500,7.00000,83.00000,83.00000,81.00000
scenario_27,-15.87690,-1.03180,-1.03180,-1.20210,13.00000,84.00000,84.00000,71.00000
scenario_28,-15.84320,-0.55960,-0.55960,-0.60910,12.00000,88.00000,88.00000,78.00000
scenario_29,-15.72650,-0.60610,-0.60610,-1.10550,15.00000,87.00000,87.00000,81.00000
scenario_30,-15.68820,-0.32290,-0.32290,-0.57260,9.00000,91.00000,91.00000,81.00000
scenario_31,-15.86680,-0.56410,-0.56410,-0.98390,11.00000,88.00000,88.00000,81.00000
scenario_32,-15.80460,-0.58600,-0.58600,-0.73010,11.00000,86.00000,86.00000,81.00000
scenario_33,-15.54100,-0.80790,-0.80790,-1.10730,12.00000,86.00000,86.00000,77.00000
scenario_34,-15.66800,-0.20690,-0.20690,-0.56190,11.00000,97.00000,97.00000,81.00000
scenario_35,-15.56720,-0.23850,-0.23850,-0.79500,11.00000,93.00000,93.00000,79.00000
scenario_36,-15.69510,-0.49580,-0.49580,-0.62950,10.00000,92.00000,92.00000,82.00000
scenario_37,-19.96420,-19.23580,-4.80897,-7.28920,10.00000,87.00000,90.00000,81.00000
scenario_38,-19.49040,-17.37400,-3.62993,-4.32750,8.00000,89.00000,92.00000,88.00000
scenario_39,-17.96690,-17.65960,-3.39795,-4.14740,13.00000,86.00000,89.00000,83.00000
scenario_40,-17.84000,-18.04090,-3.66817,-3.71270,13.00000,91.00000,95.00000,82.00000
scenario_41,-18.76370,-16.58300,-2.14822,-3.23640,14.00000,90.00000,96.00000,88.00000
scenario_42,-17.73120,-16.84180,-2.46981,-2.12140,16.00000,90.00000,95.00000,93.00000
scenario_43,-17.52180,-19.47960,-4.03445,-3.28760,13.00000,88.00000,92.00000,82.00000
scenario_44,-17.64270,-17.39910,-3.17272,-2.96710,10.00000,87.00000,91.00000,85.00000
scenario_45,-22.85680,-16.34510,-2.32277,-2.71870,13.00000,90.00000,93.00000,87.00000
scenario_46,-21.05070,-16.46150,-2.51059,-0.83170,12.00000,88.00000,91.00000,88.00000
scenario_47,-20.79480,-16.70570,-3.22880,-3.68430,12.00000,90.00000,93.00000,89.00000
scenario_48,-19.98030,-16.51670,-2.04715,-2.89510,10.00000,90.00000,95.00000,89.00000
scenario_49,-17.75640,-17.80960,-4.75567,-5.45210,11.00000,90.00000,92.00000,81.00000
scenario_50,-17.78560,-17.37920,-4.06453,-3.60040,9.00000,91.00000,94.00000,85.00000
scenario_51,-17.58270,-17.33600,-3.18101,-4.39900,14.00000,90.00000,94.00000,85.00000
scenario_52,-17.64680,-17.66980,-2.21905,-2.31860,13.00000,91.00000,95.00000,88.00000
scenario_53,-15.50840,-0.53900,-0.53900,-0.51440,9.00000,89.00000,89.00000,84.00000
scenario_54,-15.37470,-0.13860,-0.13860,-0.20280,13.00000,97.00000,97.00000,86.00000
scenario_55,-15.09130,-0.49530,-0.49530,-0.82590,15.00000,92.00000,92.00000,82.00000
scenario_56,-14.98690,-0.35770,-0.35770,-0.49060,12.00000,94.00000,94.00000,83.00000
scenario_57,-15.26310,-0.68320,-0.68320,-0.75570,12.00000,91.00000,91.00000,77.00000
scenario_58,-15.25930,-0.35940,-0.35940,-0.38300,12.00000,91.00000,91.00000,86.00000
scenario_59,-15.16190,-1.10130,-1.10130,-1.10020,12.00000,85.00000,85.00000,83.00000
scenario_60,-15.05770,-0.24280,-0.24280,-0.59700,12.00000,94.00000,94.00000,86.00000
scenario_61,-15.42560,-0.59150,-0.59150,-0.95000,11.00000,86.00000,86.00000,84.00000
scenario_62,-15.33090,-0.40880,-0.40880,-0.43590,14.00000,91.00000,91.00000,86.00000
scenario_63,-15.47620,-0.89540,-0.89540,-0.77330,15.00000,82.00000,82.00000,85.00000
scenario_64,-15.36340,-1.80930,-1.80930,-1.38430,11.00000,79.00000,79.00000,77.00000
scenario_65,-14.81510,-0.84160,-0.84160,-1.74970,15.00000,87.00000,87.00000,72.00000
scenario_66,-14.94480,-0.23300,-0.23300,-0.47260,14.00000,95.00000,95.00000,86.00000
scenario_67,-14.89800,-0.22470,-0.22470,-0.38860,14.00000,96.00000,96.00000,84.00000
scenario_68,-15.04290,-0.73450,-0.73450,-0.72150,16.00000,89.00000,89.00000,83.00000
