Estado,Falla (%),Línea Principal,Relé Principal,TDS (Main),Pickup (Main),I_shc (Main),t_m (Main),Línea Backup,Relé Backup,TDS (Backup),Pickup (Backup),I_shc (Backup),t_b (Backup),Δt,MT
Coordinado,90,L1-2,R38,0.05000,0.12978,0.98,0.170,L2-3,R39,0.08000,0.3486,0.58,1.094,0.725,0.000
Coordinado,90,L1-2,R38,0.05000,0.12978,0.98,0.170,L2-19,R55,0.23723,0.10762,0.4,1.248,0.879,0.000
Coordinado,10,L10-11,R10,0.56317,0.08845,1.71,1.292,L9-10,R9,0.35000,0.3604,1.71,1.549,0.057,0.000
Coordinado,90,L10-11,R47,0.56543,0.0561,1.22,1.246,L11-12,R48,0.16109,0.57599,1.22,1.491,0.045,0.000
Coordinado,10,L11-12,R11,0.56376,0.05302,1.58,1.123,L10-11,R10,0.56317,0.08845,1.58,1.329,0.005,0.000
Coordinado,90,L11-12,R48,0.16109,0.57599,1.4,1.258,L12-13,R49,0.54091,0.051,0.52,1.593,0.135,0.000
Coordinado,90,L11-12,R48,0.16109,0.57599,1.4,1.258,L12-22,R72,0.64696,0.05098,0.88,1.545,0.087,0.000
Coordinado,10,L12-13,R12,0.14653,0.71582,2.11,0.939,L11-12,R11,0.56376,0.05302,1.28,1.200,0.062,0.000
Coordinado,10,L12-13,R12,0.14653,0.71582,2.11,0.939,L12-22,R72,0.64696,0.05098,0.83,1.578,0.440,0.000
Coordinado,90,L12-13,R49,0.54091,0.051,0.96,1.252,L13-14,R50,0.63764,0.05,0.96,1.466,0.014,0.000
Coordinado,10,L13-14,R13,0.64363,0.088,1.19,1.685,L12-13,R12,0.14653,0.71582,1.19,2.008,0.122,0.000
Coordinado,90,L13-14,R50,0.63764,0.05,1.27,1.336,L14-15,R51,0.15458,0.64699,1.27,1.594,0.058,0.000
Coordinado,10,L14-15,R14,0.68218,0.05404,0.93,1.631,L13-14,R13,0.64363,0.088,0.93,1.866,0.035,0.000
Coordinado,90,L14-15,R51,0.15458,0.64699,1.62,1.168,L15-16,R52,0.48757,0.051,0.53,1.424,0.056,0.000
Coordinado,90,L14-15,R51,0.15458,0.64699,1.62,1.168,L9-15,R34,0.80999,0.05,1.1,1.778,0.410,0.000
Coordinado,90,L15-16,R52,0.48757,0.051,0.62,1.333,L16-17,R53,0.53626,0.05782,0.62,1.545,0.013,0.000
Coordinado,10,L16-17,R16,0.79607,0.07696,1.42,1.856,L15-16,R15,0.22522,0.69281,1.42,2.181,0.125,0.000
Coordinado,90,L16-17,R53,0.53626,0.05782,0.84,1.365,L17-18,R54,0.61007,0.06061,0.84,1.582,0.017,0.000
Coordinado,10,L17-18,R17,0.77953,0.06061,0.97,1.914,L16-17,R16,0.79607,0.07696,0.97,2.144,0.030,0.000
Coordinado,90,L17-18,R54,0.61007,0.06061,0.99,1.487,L18-33,R73,0.72034,0.05633,0.99,1.709,0.023,0.000
Coordinado,10,L18-33,R36,0.70800,0.05633,0.84,1.785,L17-18,R17,0.77953,0.06061,0.84,2.022,0.037,0.000
Coordinado,90,L18-33,R73,0.72034,0.05633,1.13,1.632,L32-33,R32,0.84862,0.05381,1.13,1.892,0.061,0.000
Coordinado,10,L19-20,R19,0.50887,0.20363,6.6,0.989,L2-19,R18,0.61228,0.20346,6.6,1.190,0.001,0.000
Coordinado,90,L19-20,R56,0.24604,0.14382,1.31,0.762,L20-21,R57,0.11000,0.60629,1.31,0.992,0.029,0.000
Coordinado,10,L2-19,R18,0.61228,0.20346,10.23,1.052,L1-2,R1,0.66613,0.49872,9.71,1.524,0.273,0.000
Coordinado,10,L2-19,R18,0.61228,0.20346,10.23,1.052,L2-3,R39,0.08000,0.3486,0.54,1.274,0.022,0.000
Coordinado,90,L2-19,R55,0.23723,0.10762,0.59,0.959,L19-20,R56,0.24604,0.14382,0.59,1.203,0.044,0.000
Coordinado,10,L2-3,R2,1.00000,0.05949,9.81,1.302,L1-2,R1,0.66613,0.49872,9.49,1.537,0.034,0.000
Coordinado,10,L2-3,R2,1.00000,0.05949,9.81,1.302,L2-19,R55,0.23723,0.10762,0.32,1.507,0.005,0.000
Coordinado,90,L2-3,R39,0.08000,0.3486,1.0,0.526,L3-4,R40,0.54011,0.05202,0.7,1.417,0.691,0.000
Coordinado,90,L2-3,R39,0.08000,0.3486,1.0,0.526,L3-23,R59,0.32195,0.06536,0.3,1.456,0.731,0.000
Coordinado,10,L20-21,R20,0.66590,0.05302,2.34,1.185,L19-20,R19,0.50887,0.20363,2.34,1.424,0.039,0.000
Coordinado,90,L20-21,R57,0.11000,0.60629,1.61,0.781,L21-22,R58,0.43865,0.052,0.61,1.217,0.236,0.000
Coordinado,90,L20-21,R57,0.11000,0.60629,1.61,0.781,L8-21,R33,0.42595,0.07628,1.01,1.125,0.144,0.000
Coordinado,10,L21-22,R21,0.25670,0.29746,2.8,0.784,L20-21,R20,0.66590,0.05302,1.84,1.268,0.285,0.000
Coordinado,10,L21-22,R21,0.25670,0.29746,2.8,0.784,L8-21,R33,0.42595,0.07628,0.96,1.148,0.164,0.000
Coordinado,10,L8-21,R33,0.42595,0.07628,2.6,0.816,L7-8,R7,0.54047,0.09032,1.45,1.325,0.310,0.000
Coordinado,10,L8-21,R33,0.42595,0.07628,2.6,0.816,L8-9,R45,0.31177,0.36338,1.16,1.859,0.843,0.000
Coordinado,90,L8-21,R70,0.39843,0.17237,2.26,1.056,L21-22,R58,0.43865,0.052,0.51,1.314,0.058,0.000
Coordinado,90,L8-21,R70,0.39843,0.17237,2.26,1.056,L20-21,R20,0.66590,0.05302,1.75,1.287,0.031,0.000
Coordinado,10,L12-22,R72,0.64696,0.05098,1.75,1.236,L21-22,R21,0.25670,0.29746,0.96,1.516,0.080,0.000
Coordinado,90,L12-22,R35,0.05000,0.64161,1.72,0.351,L11-12,R11,0.56376,0.05302,0.69,1.499,0.947,0.000
Coordinado,90,L12-22,R35,0.05000,0.64161,1.72,0.351,L12-13,R49,0.54091,0.051,0.27,2.234,1.683,0.000
Coordinado,10,L23-24,R23,0.85641,0.13237,4.13,1.683,L3-23,R22,0.21000,1.95984,4.13,1.957,0.074,0.000
Coordinado,90,L23-24,R60,0.36106,0.08219,0.93,1.017,L24-25,R61,0.45665,0.07854,0.93,1.262,0.045,0.000
Coordinado,10,L24-25,R24,0.80384,0.11498,2.36,1.806,L23-24,R23,0.85641,0.13237,2.36,2.022,0.015,0.000
Coordinado,90,L24-25,R61,0.45665,0.07854,1.29,1.111,L25-29,R74,0.11791,0.71438,1.29,1.388,0.078,0.000
Coordinado,10,L25-29,R37,0.91000,0.05678,1.63,1.835,L24-25,R24,0.80384,0.11498,1.63,2.066,0.032,0.000
Coordinado,90,L25-29,R74,0.11791,0.71438,1.59,1.023,L28-29,R28,0.85681,0.05198,1.14,1.883,0.659,0.000
Coordinado,90,L25-29,R74,0.11791,0.71438,1.59,1.023,L29-30,R66,0.41130,0.05,0.46,1.269,0.045,0.000
Coordinado,10,L26-27,R26,0.94000,0.08195,3.07,1.751,L6-26,R25,0.26252,1.26761,3.07,2.059,0.108,0.000
Coordinado,90,L26-27,R63,0.46536,0.08112,0.82,1.376,L27-28,R64,0.56790,0.07121,0.82,1.587,0.012,0.000
Coordinado,90,L27-28,R64,0.56790,0.07121,1.25,1.348,L28-29,R65,0.12487,0.73851,1.25,1.652,0.104,0.000
Coordinado,10,L28-29,R28,0.85681,0.05198,1.55,1.707,L27-28,R27,0.91000,0.06185,1.55,1.914,0.007,0.000
Coordinado,90,L28-29,R65,0.12487,0.73851,1.76,0.998,L25-29,R37,0.91000,0.05678,1.31,1.966,0.769,0.000
Coordinado,90,L28-29,R65,0.12487,0.73851,1.76,0.998,L29-30,R66,0.41130,0.05,0.45,1.282,0.084,0.000
Coordinado,10,L29-30,R29,0.19005,1.10663,2.47,1.644,L28-29,R28,0.85681,0.05198,1.14,1.883,0.039,0.000
Coordinado,10,L29-30,R29,0.19005,1.10663,2.47,1.644,L25-29,R37,0.91000,0.05678,1.33,1.957,0.113,0.000
Coordinado,90,L29-30,R66,0.41130,0.05,0.52,1.201,L30-31,R67,0.45467,0.05698,0.52,1.408,0.007,0.000
Coordinado,10,L3-23,R22,0.21000,1.95984,6.56,1.202,L2-3,R2,1.00000,0.05949,5.9,1.454,0.052,0.000
Coordinado,10,L3-23,R22,0.21000,1.95984,6.56,1.202,L3-4,R40,0.54011,0.05202,0.66,1.451,0.048,0.000
Coordinado,90,L3-23,R59,0.32195,0.06536,0.58,1.010,L23-24,R60,0.36106,0.08219,0.58,1.268,0.058,0.000
Coordinado,10,L3-4,R3,0.19767,2.28696,6.25,1.363,L3-23,R59,0.32195,0.06536,0.27,1.566,0.004,0.000
Coordinado,10,L30-31,R30,0.91000,0.08462,2.0,1.951,L29-30,R29,0.19005,1.10663,2.0,2.235,0.083,0.000
Coordinado,90,L30-31,R67,0.45467,0.05698,0.64,1.284,L31-32,R68,0.56357,0.05,0.64,1.508,0.024,0.000
Coordinado,10,L31-32,R31,0.87568,0.06704,1.43,1.942,L30-31,R30,0.91000,0.08462,1.43,2.190,0.048,0.000
Coordinado,90,L31-32,R68,0.56357,0.05,0.7,1.456,L32-33,R69,0.63827,0.05381,0.7,1.697,0.041,0.000
Coordinado,10,L32-33,R32,0.84862,0.05381,1.28,1.816,L31-32,R31,0.87568,0.06704,1.28,2.018,0.002,0.000
Coordinado,90,L32-33,R69,0.63827,0.05381,0.76,1.643,L18-33,R36,0.70800,0.05633,0.76,1.855,0.012,0.000
Coordinado,10,L4-5,R4,0.78762,0.19295,4.51,1.695,L3-4,R3,0.19767,2.28696,4.51,2.024,0.129,0.000
Coordinado,10,L5-6,R5,1.00000,0.05843,3.31,1.665,L4-5,R4,0.78762,0.19295,3.31,1.885,0.020,0.000
Coordinado,90,L5-6,R42,0.05000,0.98421,2.0,0.490,L6-7,R43,1.00000,0.05,1.4,2.031,1.341,0.000
Coordinado,90,L5-6,R42,0.05000,0.98421,2.0,0.490,L6-26,R62,0.45065,0.052,0.6,1.259,0.569,0.000
Coordinado,10,L6-26,R25,0.26252,1.26761,3.46,1.812,L6-7,R43,1.00000,0.05,1.44,2.014,0.002,0.000
Coordinado,90,L6-26,R62,0.45065,0.052,0.72,1.169,L26-27,R63,0.46536,0.08112,0.72,1.460,0.091,0.000
Coordinado,10,L6-7,R6,0.11228,1.23338,2.64,1.025,L5-6,R5,1.00000,0.05843,2.02,1.907,0.682,0.000
Coordinado,10,L6-7,R6,0.11228,1.23338,2.64,1.025,L6-26,R62,0.45065,0.052,0.62,1.242,0.017,0.000
Coordinado,90,L6-7,R43,1.00000,0.05,1.73,1.906,L7-8,R44,0.12503,1.15332,1.73,2.150,0.044,0.000
Coordinado,10,L7-8,R7,0.54047,0.09032,2.07,1.171,L6-7,R6,0.11228,1.23338,2.07,1.510,0.140,0.000
Coordinado,90,L7-8,R44,0.12503,1.15332,2.2,1.347,L8-21,R70,0.39843,0.17237,0.88,1.683,0.137,0.000
Coordinado,90,L7-8,R44,0.12503,1.15332,2.2,1.347,L8-9,R45,0.31177,0.36338,1.32,1.670,0.124,0.000
Coordinado,10,L8-9,R8,0.26300,0.43008,2.4,1.052,L7-8,R7,0.54047,0.09032,1.56,1.290,0.038,0.000
Coordinado,10,L8-9,R8,0.26300,0.43008,2.4,1.052,L8-21,R70,0.39843,0.17237,0.84,1.733,0.481,0.000
Coordinado,90,L8-9,R45,0.31177,0.36338,2.05,1.240,L9-10,R46,0.48638,0.052,0.49,1.484,0.044,0.000
Coordinado,90,L8-9,R45,0.31177,0.36338,2.05,1.240,L9-15,R71,0.14000,0.19456,0.31,2.094,0.654,0.000
Coordinado,10,L9-10,R9,0.35000,0.3604,2.86,1.159,L8-9,R8,0.26300,0.43008,1.4,1.542,0.183,0.000
Coordinado,10,L9-10,R9,0.35000,0.3604,2.86,1.159,L9-15,R71,0.14000,0.19456,0.28,2.682,1.324,0.000
Coordinado,90,L9-10,R46,0.48638,0.052,1.07,1.092,L10-11,R47,0.56543,0.0561,1.07,1.303,0.011,0.000
Coordinado,10,L9-15,R34,0.80999,0.05,2.8,1.353,L8-9,R8,0.26300,0.43008,1.31,1.635,0.082,0.000
Coordinado,10,L9-15,R34,0.80999,0.05,2.8,1.353,L9-10,R46,0.48638,0.052,0.39,1.656,0.103,0.000
Coordinado,90,L9-15,R71,0.14000,0.19456,1.17,0.536,L14-15,R14,0.68218,0.05404,0.67,1.849,1.113,0.000
Coordinado,90,L9-15,R71,0.14000,0.19456,1.17,0.536,L15-16,R52,0.48757,0.051,0.5,1.461,0.725,0.000
Descoordinado,10,L15-16,R15,0.22522,0.69281,1.83,1.607,L14-15,R14,0.68218,0.05404,0.73,1.787,-0.020,-0.020
Descoordinado,10,L15-16,R15,0.22522,0.69281,1.83,1.607,L9-15,R34,0.80999,0.05,1.1,1.778,-0.029,-0.029
Descoordinado,90,L21-22,R58,0.43865,0.052,0.86,1.064,L12-22,R35,0.05000,0.64161,0.86,1.191,-0.073,-0.073
Descoordinado,10,L27-28,R27,0.91000,0.06185,2.53,1.653,L26-27,R26,0.94000,0.08195,2.53,1.853,-0.000,-0.000
Descoordinado,10,L3-4,R3,0.19767,2.28696,6.25,1.363,L2-3,R2,1.00000,0.05949,5.99,1.449,-0.114,-0.114
Descoordinado,90,L3-4,R40,0.54011,0.05202,1.04,1.225,L4-5,R41,0.41000,0.14387,1.04,1.422,-0.002,-0.002
Descoordinado,90,L4-5,R41,0.41000,0.14387,1.32,1.266,L5-6,R42,0.05000,0.98421,1.32,1.189,-0.278,-0.278
Descoordinado,10,L6-26,R25,0.26252,1.26761,3.46,1.812,L5-6,R5,1.00000,0.05843,2.04,1.901,-0.111,-0.111
