Escenario,Pares evaluados,Pares válidos,Descoordinados,% Descoord,TMT (negativo)
scenario_1,100,100,85,85.0,-10.06720
scenario_2,100,100,70,70.0,-14.19820
scenario_3,100,100,72,72.0,-14.30910
scenario_4,100,100,83,83.0,-10.31560
scenario_5,100,100,63,63.0,-13.94490
scenario_6,100,100,69,69.0,-14.84590
scenario_7,100,100,75,75.0,-14.36290
scenario_8,100,100,72,72.0,-14.96140
scenario_9,100,100,71,71.0,-13.53060
scenario_10,100,100,76,76.0,-14.06230
scenario_11,100,100,70,70.0,-14.32470
scenario_12,100,100,72,72.0,-14.56790
scenario_13,100,100,70,70.0,-13.86280
scenario_14,100,100,71,71.0,-14.00120
scenario_15,100,100,66,66.0,-14.23570
scenario_16,100,100,69,69.0,-13.85530
scenario_17,100,100,73,73.0,-14.66600
scenario_18,100,100,70,70.0,-14.37650
scenario_19,100,100,72,72.0,-14.16490
scenario_20,100,100,69,69.0,-14.36800
scenario_21,100,100,90,90.0,-10.30640
scenario_22,100,100,79,79.0,-10.01360
scenario_23,100,100,86,86.0,-10.15510
scenario_24,100,100,83,83.0,-10.03090
scenario_25,100,100,87,87.0,-10.19590
scenario_26,100,100,80,80.0,-10.10540
scenario_27,100,100,85,85.0,-10.14840
scenario_28,100,100,87,87.0,-10.35180
scenario_29,100,100,83,83.0,-9.87830
scenario_30,100,100,83,83.0,-10.20920
scenario_31,100,100,83,83.0,-10.56330
scenario_32,100,100,86,86.0,-10.22210
scenario_33,100,100,85,85.0,-9.82360
scenario_34,100,100,81,81.0,-10.16870
scenario_35,100,100,81,81.0,-10.23560
scenario_36,100,100,81,81.0,-9.93010
scenario_37,100,100,63,63.0,-15.75370
scenario_38,100,100,67,67.0,-14.22930
scenario_39,100,100,75,75.0,-14.74000
scenario_40,100,100,71,71.0,-14.81800
scenario_41,100,100,70,70.0,-14.45830
scenario_42,100,100,70,70.0,-14.61630
scenario_43,100,100,74,74.0,-14.93560
scenario_44,100,100,76,76.0,-14.43020
scenario_45,100,100,65,65.0,-14.49450
scenario_46,100,100,68,68.0,-15.09800
scenario_47,100,100,76,76.0,-15.76370
scenario_48,100,100,72,72.0,-14.86300
scenario_49,100,100,77,77.0,-14.96480
scenario_50,100,100,73,73.0,-14.72030
scenario_51,100,100,73,73.0,-14.75110
scenario_52,100,100,68,68.0,-14.54230
scenario_53,100,100,83,83.0,-9.80610
scenario_54,100,100,80,80.0,-9.92590
scenario_55,100,100,87,87.0,-9.99910
scenario_56,100,100,82,82.0,-9.50150
scenario_57,100,100,84,84.0,-9.62490
scenario_58,100,100,78,78.0,-10.25780
scenario_59,100,100,76,76.0,-9.91690
scenario_60,100,100,84,84.0,-9.91050
scenario_61,100,100,82,82.0,-10.20480
scenario_62,100,100,88,88.0,-10.39390
scenario_63,100,100,80,80.0,-10.20150
scenario_64,100,100,77,77.0,-10.37820
scenario_65,100,100,88,88.0,-9.47700
scenario_66,100,100,84,84.0,-9.55230
scenario_67,100,100,82,82.0,-9.64920
scenario_68,100,100,83,83.0,-9.73200
