Escenario,Pares evaluados,Pares válidos,Descoordinados,% Descoord,TMT (negativo)
scenario_1,100,100,43,43.0,-50.52470
scenario_2,100,100,73,73.0,-211.42100
scenario_3,100,100,58,58.0,-135.89470
scenario_4,100,100,63,63.0,-22.37950
scenario_5,100,100,75,75.0,-97.64090
scenario_6,100,100,69,69.0,-75.96700
scenario_7,100,100,47,47.0,-57.13910
scenario_8,100,100,62,62.0,-69.68880
scenario_9,100,100,60,60.0,-282.08370
scenario_10,100,100,68,68.0,-131.69070
scenario_11,100,100,78,78.0,-147.01600
scenario_12,100,100,59,59.0,-5080.17650
scenario_13,100,100,54,54.0,-323.09440
scenario_14,100,100,78,78.0,-470.51360
scenario_15,100,100,78,78.0,-244.35270
scenario_16,100,100,76,76.0,-209.31960
scenario_17,100,100,81,81.0,-457.90320
scenario_18,100,100,76,76.0,-221.84370
scenario_19,100,100,76,76.0,-256.30730
scenario_20,100,100,75,75.0,-257.75450
scenario_21,100,100,46,46.0,-51.61770
scenario_22,100,100,47,47.0,-57.59260
scenario_23,100,100,61,61.0,-20.99400
scenario_24,100,100,46,46.0,-55.22370
scenario_25,100,100,45,45.0,-53.30060
scenario_26,100,100,49,49.0,-57.71050
scenario_27,100,100,44,44.0,-50.28590
scenario_28,100,100,44,44.0,-49.15360
scenario_29,100,100,46,46.0,-56.42900
scenario_30,100,100,41,41.0,-48.43180
scenario_31,100,100,59,59.0,-21.76490
scenario_32,100,100,60,60.0,-21.71950
scenario_33,100,100,62,62.0,-21.57830
scenario_34,100,100,43,43.0,-54.29060
scenario_35,100,100,57,57.0,-20.12520
scenario_36,100,100,60,60.0,-20.47760
scenario_37,100,100,50,50.0,-124.51850
scenario_38,100,100,46,46.0,-79.97260
scenario_39,100,100,52,52.0,-86.46710
scenario_40,100,100,56,56.0,-131.77540
scenario_41,100,100,52,52.0,-78.56180
scenario_42,100,100,53,53.0,-94.39020
scenario_43,100,100,59,59.0,-140.55830
scenario_44,100,100,68,68.0,-74.81980
scenario_45,100,100,50,50.0,-170.99250
scenario_46,100,100,59,59.0,-136.81110
scenario_47,100,100,58,58.0,-183.11840
scenario_48,100,100,72,72.0,-234.03020
scenario_49,100,100,77,77.0,-280.82080
scenario_50,100,100,77,77.0,-244.61800
scenario_51,100,100,76,76.0,-276.01130
scenario_52,100,100,75,75.0,-253.94380
scenario_53,100,100,44,44.0,-55.74180
scenario_54,100,100,45,45.0,-53.16230
scenario_55,100,100,42,42.0,-53.02130
scenario_56,100,100,59,59.0,-20.42010
scenario_57,100,100,39,39.0,-52.85960
scenario_58,100,100,47,47.0,-57.32190
scenario_59,100,100,41,41.0,-52.21260
scenario_60,100,100,42,42.0,-52.10560
scenario_61,100,100,46,46.0,-54.13800
scenario_62,100,100,42,42.0,-57.93400
scenario_63,100,100,40,40.0,-52.75330
scenario_64,100,100,39,39.0,-50.58710
scenario_65,100,100,38,38.0,-50.61410
scenario_66,100,100,61,61.0,-21.54470
scenario_67,100,100,60,60.0,-21.15750
scenario_68,100,100,64,64.0,-21.24310
